f_nf,aspect,dem,distance_from_river,flow_accumulation,land_use,lithology,plan_curvature,profile_curvature,rainfall,slope,soil,spi,tpi,tri,twi
0,37.5035374,97.4526344,0.0,31,55,2,-0.7958507,-0.3401225,49.7837384,17.5242013,3,6.2850298,11.8517386,0.438085,12.0680722
0,1.55747,16.8529649,195.1600824,0,55,1,-0.9407626,0.1020668,46.2179757,10.5628799,2,16.4765299,-1.5203014,0.3353393,5.7935544
0,271.5749712,5.2825799,368.9415049,0,55,2,0.6853002,-0.104985,51.2919159,15.2072324,3,17.0569234,-11.1954709,0.0236347,6.0765465
0,254.3987363,5.2825799,66.3704049,0,55,5,0.1730969,-0.2907988,52.6694421,13.8325594,3,0.0,14.3417447,0.0485201,14.1829004
1,233.2169261,75.7015254,1453.5536442,0,1,3,-0.1222477,-0.4972132,53.8357328,9.3362303,3,565.058837,4.2844811,0.3074947,5.5398361
0,175.2098412,171.9761419,1211.3673939,0,1,5,-1.04951,-0.5753334,53.8147592,3.1068444,3,379.1851332,-13.2173888,0.0236347,4.6006151
0,110.1373399,32.980745,727.5395225,9,55,1,0.0058705,0.3959312,45.8456993,15.9737342,3,32.3023756,37.8633748,0.2644662,6.0083715
0,133.6817597,32.2262586,0.0,19,68,2,-0.0206552,-0.5291234,49.5009486,5.9145894,3,0.0,-4.1644303,0.255729,5.8862116
0,247.4823878,30.154629,672.401694,0,55,3,-0.1391248,-0.3677371,49.3655922,0.0,3,454.0768571,-8.9300805,0.3181701,6.9566224
1,304.8784356,76.9439937,1075.4201637,0,68,3,-0.1783453,-0.1235458,52.5034553,0.0,3,125.618851,-5.3435502,0.34638,5.16851
0,328.0199112,19.2869702,374.8495398,0,55,2,0.2412324,0.0001335,51.2831462,28.3987007,2,0.0,-1.9905093,0.0236347,4.5782838
1,185.0643108,38.2134282,1826.4200439,562,1,3,-0.2153167,-0.3280059,52.3562704,0.883864,3,0.0,-12.8676752,0.3422037,14.4335511
0,94.5008633,5.2825799,0.0,0,1,5,-0.7782743,0.4098697,49.7248707,7.50124,3,0.0,13.8094732,0.2657002,7.8349577
0,1.55747,220.6302814,0.0,0,1,1,0.7126892,-0.5319848,47.2776445,12.1877829,3,28.6916735,19.4538549,0.0236347,11.5700137
0,290.6389689,168.1347597,236.1264734,0,1,3,0.6410372,0.403765,48.6738684,28.3987007,3,38.9254442,-13.5772022,0.2514151,4.1862898
0,37.2567112,16.328001,106.8506625,0,55,5,0.683886,-0.0122926,48.5552218,4.8879823,3,0.0,13.2133208,0.1758205,5.1438664
1,128.7298499,27.4364139,1396.0736152,676,1,2,-0.1647664,-0.4293792,51.762003,0.0,3,223.6292443,-8.3784009,0.2407476,6.6243106
0,183.5335099,24.924531,1800.267593,0,16,5,0.846791,0.2258149,46.6976562,28.3987007,3,584.5506509,-3.9986333,0.0236347,6.2115688
0,1.55747,250.0616898,1209.2741345,0,1,1,0.7548447,-0.4929071,45.8456993,2.3521288,3,39.2056384,-2.6465426,0.1273516,14.1829004
1,248.9822325,84.3313771,14.8308988,836,1,3,-0.0506047,-0.1191006,52.0351341,0.6319825,3,0.0,-5.8538523,0.1517081,8.162211
0,1.55747,183.8496166,667.2858767,20,1,1,0.3932915,-0.3143354,49.8643951,0.0,3,29.2694528,18.4113174,0.2140231,4.1862898
