f_nf,aspect,dem,distance_from_river,flow_accumulation,land_use,lithology,plan_curvature,profile_curvature,rainfall,slope,soil,spi,tpi,tri,twi
0,239.8805701,221.4534608,2305.4978474,3,55,2,0.0633571,0.1128523,46.0348014,18.361985,3,5.375809,-0.9845444,0.3944132,4.86874
1,255.3985233,24.8406662,1434.7684373,434,68,3,-0.056049,0.1013475,50.2500002,0.737488,3,23.5304709,-1.9273236,0.3221821,6.6868179
1,32.5022243,107.4315442,1826.4200439,79,32,3,-0.26069,-0.1367309,48.599726,8.2585604,3,609.8556608,0.28233,0.483872,6.2913319
1,1.5001841,9.8073692,829.5577859,262,68,3,-0.0490144,-0.1059371,53.8841104,0.0086444,3,18.9939755,2.1644012,0.1030259,8.421202
1,333.135465,19.0930273,0.9969474,13378,68,5,-0.0461599,0.0498663,52.1445099,3.7123086,3,317.8407231,-0.7862713,0.1230555,11.3075561
0,20.0454447,171.9616392,2013.9136093,2,55,5,0.2171111,0.5782851,46.7154262,12.327757,3,1.2863515,-12.2537873,0.3716848,5.0766451
1,261.4977228,15.5687391,1472.2990911,0,68,3,0.0564534,-0.4504762,52.7854053,4.5145856,3,0.0,1.3163143,0.2926895,6.8920039
0,68.0094747,13.3192266,1080.7424974,12,1,3,-0.2093077,0.2148477,52.6910366,1.0205898,3,8.5907824,-11.3630615,0.2836421,10.8903866
0,185.0534115,141.5014622,1425.5985265,2,16,5,0.3587855,-0.2604583,51.2965337,2.7610058,3,7.9624641,43.1377487,0.4958099,5.542428
1,35.1765156,47.2790568,80.6508258,4228,32,3,0.09534,-0.1809778,49.9691169,2.6378116,3,0.6789368,3.8959265,0.3189959,10.66822
1,72.1473279,32.5632627,82.089665,13072,68,3,-0.3115946,0.465172,49.9410548,0.0027354,3,4317.2260026,-6.2390244,0.3001157,14.1846449
0,322.4378771,327.9770861,1547.7598004,1,55,5,0.3803823,-0.0355388,46.1416961,20.6959827,3,2.2833511,26.298501,0.4789258,4.619636
0,356.6630499,207.3200112,2931.6057286,175,68,2,-0.4637653,0.4133092,46.1078693,23.7972708,3,451.8029817,14.0516803,0.4581163,6.9992695
0,214.5016126,80.7116586,605.1005973,19,55,2,0.1199531,-0.3025995,50.2066178,1.560627,2,1.7593613,7.8122191,0.3580273,9.0089268
1,237.9367952,44.1447465,220.9482664,0,68,3,-0.1466659,0.1089798,51.0485612,3.6315528,3,1e-07,-0.1008465,0.2935139,6.3876543
0,238.6682725,41.3114473,1616.8883099,12,55,5,0.0744945,-0.2324233,52.5721308,5.8036081,3,13.4921982,17.9480537,0.4245857,10.9764683
1,134.8974804,56.2536578,1315.1493993,1,68,5,-0.1785608,-0.1016587,52.0693452,5.2904444,2,5e-07,1.0292599,0.3708162,5.711188
0,237.5301348,161.0074516,2583.2468351,3,16,3,-0.2502327,-0.0822975,49.3078595,16.8984369,3,24.7431524,14.706995,0.33087,4.6694515
0,11.423824,377.0859985,1867.6543826,1,55,2,0.3300221,-0.1928246,45.8460531,25.0900241,3,4.5472815,15.7986192,0.632789,4.6125483
0,342.3167123,187.0574677,1771.578333,1,55,3,0.478482,0.2949168,46.5950541,12.1721044,3,0.0234871,7.7354878,0.465885,4.5988822
0,42.8678394,110.5746168,1148.6898465,11,68,3,-0.0576707,0.0590398,47.362088,10.9503135,3,92.7223789,11.0085578,0.2916054,5.9915618
1,68.5845402,53.5816265,303.5460332,3010,68,3,-0.144837,0.1504027,49.6030609,0.9082866,3,69.9293439,-5.4716378,0.2820042,5.6445457
1,353.9024438,15.9769708,3.6018939,0,32,3,0.3250335,-0.2879318,51.9602697,0.2338601,3,2.26e-05,1.190925,0.3559048,8.5970919
0,266.219867,140.0634975,1149.2829844,30,55,2,-0.0107341,-0.5332776,51.1866961,5.7778103,3,17.9899633,-1.5099467,0.6225995,5.488695
1,332.6068663,80.342049,199.3516028,0,68,3,0.2594417,-0.2159108,49.6065634,3.404946,3,0.0,-0.6192944,0.3190475,5.6191839
